ID,Раздел,Блюдо,Цена,В наличии
french-breakfast2345,Завтрак,Французский завтрак,3 500,да
italian-breakfast,Завтрак,Итальянский завтрак,4 300,да
english-breakfast,Завтрак,Английский завтрак,4 500,да
omlet-s-gribami-basturmoi-i-zelenyu,Завтрак,Омлет,2 500,да
fried-eggs,Завтрак,Яичница-глазунья,1 800,да
chocolate-syrniki,Завтрак,Сырники шоколадные,2 000,да
pancake-with-nutella-and-poppy-seeds,Завтрак,Панкейк с нутеллой,2 100,да
chia-pudding234,Завтрак,Чиа пудинг,2 000,да
croissant,Завтрак,Круассан,2 200,да
wine-plate2345,Закуски,Винная тарелка,5 000 / 8 000,да
armenian-meat-plate2,Закуски,Армянская мясная тарелка,4 500,да
armenian-cheese-plate,Закуски,Армянская сырная тарелка,2 200 / 4 000,да
firmennaya-burata,Закуски,Фирменная бурата,3 800,да
bruschetta2345678910,Закуски,Брускетта с томатами,2 200,да
brusketta-s-tuntsom,Закуски,Брускетта с тунцом,2 700,да
hummus23456789101112131415161718,Закуски,Хумус,1 200,да
armenian-greens234,Закуски,Армянская зелень,1 800,да
pickling,Закуски,Домашние соленья,2 200,да
rezhan234567891011,Закуски,Режан,1 200,да
matsun-expressed,Закуски,Мацун сцеженный,1 200,да
chesnochnyi-hleb,Горячие закуски,Чесночный хлеб,2 000,да
syrnye-shariki,Горячие закуски,Сырные шарики,2 000,да
grilled-cheese2,Горячие закуски,Жареный сыр,2 500,да
kurinaya-tempura-s-sousom,Горячие закуски,Куриная темпура с соусом,3 200,да
blinchiki-s-myasom,Горячие закуски,Блинчики с мясом,1 800,да
tako-s-kuritsei,Горячие закуски,Тако с курицей,3 200,да
tako-s-krevetkami,Горячие закуски,Тако с креветками,3 500,да
kesadilya-s-kuritsei,Горячие закуски,Кесадилья с курицей,2 500,да
kesadilya-s-govyadinoi,Горячие закуски,Кесадилья с говядиной,2 500,да
salad-domik,Салаты,Салат Домик,4 800,да
greek-salad23456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657,Салаты,Греческий салат,3 000,да
summer-salad2345678910111213141516171819202122232425262728293031323334,Салаты,Летний салат,2 400,да
caprese-salad2345,Салаты,Салат капрезе,3 500,да
burata,Салаты,Классическая бурата,3 300,да
caesar-salad2345678910111213141516171819202122232425262728293031,Салаты,Салат цезарь,3 000,да
tsezar-s-krevetkami,Салаты,Цезарь с креветками,3 500,да
angus-steak-salad,Салаты,Салат из стейка ангус,4 500,да
armenian-salad23,Салаты,Армянский салат с гранатовым соусом,4 000,да
gourmet-salad,Салаты,Салат гурман,3 800,да
salad-with-shrimp2345,Салаты,Салат с креветками,4 800,да
salat-s-tuntsom,Салаты,Салат с тунцом,4 500,да
spas23456789101112131415161718192021222324252627282930,Суп,Спас,1 400,да
domashnii-kurinyi-sup,Суп,Домашний куриный суп,2 000,да
tomato-cream-soup234567,Суп,Томатный крем суп,2 000,да
cream-soup2,Суп,Овощной крем-суп,3 000,да
mexican-soup23,Суп,Суп мексиканский,3 000,да
slavic-solyanka,Суп,Славянская солянка,2 200,да
seafood-soup23456789101112,Суп,Суп из морепродуктов,4 000,да
pasta-pesto,Паста,Паста песто,2 700,да
pasta-pelati,Паста,Паста пелати,2 500,да
four-cheese-pasta,Паста,Паста четыре сыра,3 500,да
kurinoe-ravioli-v-belom-souse,Паста,Куриное равиоли в белом соусе,2 700,да
pancetta-pasta,Паста,Паста карбонара,3 600,да
pasta-with-beef,Паста,Паста с говядиной,4 000,да
pasta-with-seafood2345,Паста,Паста с морепродуктами,4 500,да
signature-kebab2,Основные блюда,Фирменный кебаб,2 300 / 2 500,да
assorted-pork,Основные блюда,Свиная ассорти,7 900,да
shpik-svinoi,Основные блюда,Антрекот на гриле,4 800,да
assorted-lamb,Основные блюда,Баранина ассорти,9 000,да
veal-bbq23,Основные блюда,Шашлык из телятины,9 000,да
viking-baraniy,Основные блюда,Викинг бараний,9 500,да
chicken-fillet-with-rice,Основные блюда,Куриное филе с рисом,3 200,да
chicken-with-vegetables234,Основные блюда,Цыплёнок с овощами,3 400,да
kurinoe-file-po-frantsuzski,Основные блюда,Куриное филе по-французски,3 700,да
grilled-turkey-with-citrus-sauce-and-quinoa,Основные блюда,Индейка на гриле с цитрусовым соусом и киноа,5 200,да
teppanyaki-with-grilled-pork,Основные блюда,Тепаньяки со свининой на гриле,3 500,да
signature-goulash-with-pork,Основные блюда,Фирменный гуляш со свининой,3 700,да
beef-stroganoff-veal,Основные блюда,Бефстроганов (курица / телятина),3 200 – 3 500,да
pepper-steik,Основные блюда,Пеппер стейк,5 000,да
